current_mA,voltage_V
72.01,0.0191
72.02,0.0191
72.03,0.0191
72.04,0.0191
72.05,0.0189
72.06,0.019
72.07,0.019
72.08,0.019
72.09,0.0191
72.10,0.0192
72.11,0.0191
72.12,0.0194
72.13,0.0192
72.14,0.0191
72.15,0.0193
72.16,0.019
72.17,0.0192
72.18,0.0192
72.19,0.0192
72.20,0.0191
72.21,0.0195
72.22,0.0192
72.23,0.0191
72.24,0.0191
72.25,0.0189
72.26,0.0192
72.27,0.0193
72.28,0.0191
72.29,0.0192
72.30,0.0195
72.31,0.0193
72.32,0.0195
72.33,0.0193
72.34,0.0195
72.35,0.0194
72.36,0.0194
72.37,0.0192
72.38,0.0191
72.39,0.019
72.40,0.0193
72.41,0.0194
72.42,0.0194
72.43,0.0195
72.44,0.0194
72.45,0.0193
72.46,0.0194
72.47,0.0192
72.48,0.0194
72.49,0.0193
72.50,0.0194
72.51,0.0194
72.52,0.0191
72.53,0.0194
72.54,0.0193
72.55,0.0196
72.56,0.0198
72.57,0.0195
72.58,0.0196
72.59,0.0194
72.60,0.0191
72.61,0.0191
72.62,0.0192
72.63,0.0196
72.64,0.0195
72.65,0.0192
72.66,0.0192
72.67,0.0192
72.68,0.0195
72.69,0.0196
72.70,0.0194
72.71,0.0196
72.72,0.0195
72.73,0.0194
72.74,0.0195
72.75,0.0193
72.76,0.0195
72.77,0.0194
72.78,0.0194
72.79,0.0197
72.80,0.0194
72.81,0.0181
72.82,0.018
72.83,0.0193
72.84,0.0196
72.85,0.0199
72.86,0.0201
72.87,0.0199
72.88,0.0198
72.89,0.02
72.90,0.0201
72.91,0.0199
72.92,0.02
72.93,0.0196
72.94,0.0199
72.95,0.0199
72.96,0.02
72.97,0.0198
72.98,0.0199
72.99,0.0201
73.00,0.0201
73.01,0.0198
73.02,0.0199
73.03,0.0199
73.04,0.0198
73.05,0.0201
73.06,0.0199
73.07,0.0199
73.08,0.02
73.09,0.0199
73.10,0.0202
73.11,0.0198
73.12,0.0202
73.13,0.02
73.14,0.0198
73.15,0.02
73.16,0.0201
73.17,0.0199
73.18,0.02
73.19,0.0202
73.20,0.0199
73.21,0.0201
73.22,0.0199
73.23,0.0201
73.24,0.0201
73.25,0.02
73.26,0.0199
73.27,0.0202
73.28,0.0201
73.29,0.0201
73.30,0.0199
73.31,0.0202
73.32,0.0204
73.33,0.0203
73.34,0.0203
73.35,0.0202
73.36,0.0205
73.37,0.0202
73.38,0.0204
73.39,0.0201
73.40,0.0202
73.41,0.0203
73.42,0.0199
73.43,0.0202
73.44,0.0202
73.45,0.0202
73.46,0.0205
73.47,0.0202
73.48,0.0202
73.49,0.0204
73.50,0.0202
73.51,0.0204
73.52,0.0203
73.53,0.0203
73.54,0.0201
73.55,0.0205
73.56,0.0203
73.57,0.0202
73.58,0.0199
73.59,0.0204
73.60,0.0206
73.61,0.0203
73.62,0.0202
73.63,0.0203
73.64,0.0203
73.65,0.0205
73.66,0.0202
73.67,0.0204
73.68,0.0202
73.69,0.0206
73.70,0.0203
73.71,0.0206
73.72,0.0203
73.73,0.0205
73.74,0.0202
73.75,0.0207
73.76,0.0202
73.77,0.0205
73.78,0.0205
73.79,0.0203
73.80,0.0205
73.81,0.0203
73.82,0.0204
73.83,0.0204
73.84,0.0205
73.85,0.0205
73.86,0.0204
73.87,0.0205
73.88,0.0207
73.89,0.0204
73.90,0.0207
73.91,0.0203
73.92,0.0205
73.93,0.0208
73.94,0.0206
73.95,0.0202
73.96,0.0206
73.97,0.0206
73.98,0.0207
73.99,0.0204
74.00,0.0205
