current_mA,voltage_V
72.01,0.0793
72.02,0.0792
72.03,0.0793
72.04,0.0791
72.05,0.0791
72.06,0.0795
72.07,0.0795
72.08,0.0794
72.09,0.0795
72.10,0.0792
72.11,0.0794
72.12,0.0794
72.13,0.0794
72.14,0.0794
72.15,0.0794
72.16,0.0794
72.17,0.0794
72.18,0.0796
72.19,0.0796
72.20,0.0795
72.21,0.0795
72.22,0.0796
72.23,0.0797
72.24,0.0797
72.25,0.0796
72.26,0.0797
72.27,0.0798
72.28,0.08
72.29,0.08
72.30,0.0797
72.31,0.0799
72.32,0.0797
72.33,0.0801
72.34,0.0801
72.35,0.0799
72.36,0.0798
72.37,0.0798
72.38,0.0798
72.39,0.08
72.40,0.08
72.41,0.0801
72.42,0.0801
72.43,0.0801
72.44,0.0799
72.45,0.0799
72.46,0.0802
72.47,0.0801
72.48,0.0803
72.49,0.08
72.50,0.08
72.51,0.0799
72.52,0.0802
72.53,0.0802
72.54,0.0803
72.55,0.0805
72.56,0.0801
72.57,0.0802
72.58,0.0806
72.59,0.0803
72.60,0.0804
72.61,0.0805
72.62,0.0804
72.63,0.0807
72.64,0.0805
72.65,0.0802
72.66,0.0804
72.67,0.0804
72.68,0.0804
72.69,0.0804
72.70,0.0803
72.71,0.0806
72.72,0.0802
72.73,0.0803
72.74,0.0804
72.75,0.0802
72.76,0.0803
72.77,0.0803
72.78,0.0805
72.79,0.0805
72.80,0.0803
72.81,0.0805
72.82,0.0807
72.83,0.0801
72.84,0.0794
72.85,0.0803
72.86,0.0805
72.87,0.08
72.88,0.0803
72.89,0.0807
72.90,0.0806
72.91,0.0807
72.92,0.0808
72.93,0.0809
72.94,0.0812
72.95,0.0811
72.96,0.081
72.97,0.0812
72.98,0.0809
72.99,0.0812
73.00,0.0812
73.01,0.0811
73.02,0.0811
73.03,0.0811
73.04,0.0811
73.05,0.0812
73.06,0.0811
73.07,0.0811
73.08,0.0812
73.09,0.0811
73.10,0.081
73.11,0.0813
73.12,0.0811
73.13,0.0811
73.14,0.0813
73.15,0.0813
73.16,0.0812
73.17,0.0811
73.18,0.0815
73.19,0.0813
73.20,0.0812
73.21,0.0813
73.22,0.0816
73.23,0.0815
73.24,0.0815
73.25,0.0814
73.26,0.0815
73.27,0.0815
73.28,0.0815
73.29,0.0817
73.30,0.0816
73.31,0.0818
73.32,0.0814
73.33,0.0816
73.34,0.0817
73.35,0.0816
73.36,0.0816
73.37,0.0815
73.38,0.0816
73.39,0.0817
73.40,0.0819
73.41,0.0816
73.42,0.0818
73.43,0.0817
73.44,0.0817
73.45,0.0819
73.46,0.0817
73.47,0.082
73.48,0.082
73.49,0.0819
73.50,0.082
73.51,0.0818
73.52,0.0819
73.53,0.082
73.54,0.082
73.55,0.0821
73.56,0.0819
73.57,0.082
73.58,0.082
73.59,0.0819
73.60,0.0822
73.61,0.0821
73.62,0.082
73.63,0.082
73.64,0.082
73.65,0.0822
73.66,0.0821
73.67,0.0822
73.68,0.0821
73.69,0.0821
73.70,0.082
73.71,0.0821
73.72,0.0823
73.73,0.082
73.74,0.0824
73.75,0.0822
73.76,0.0823
73.77,0.082
73.78,0.0825
73.79,0.0821
73.80,0.0822
73.81,0.0823
73.82,0.0822
73.83,0.0825
73.84,0.0822
73.85,0.0824
73.86,0.0825
73.87,0.0826
73.88,0.0823
73.89,0.0823
73.90,0.0825
73.91,0.0824
73.92,0.0824
73.93,0.0827
73.94,0.0825
73.95,0.0824
73.96,0.0824
73.97,0.0825
73.98,0.0827
73.99,0.0825
74.00,0.0826
