current_mA,voltage_V
72.01,0.073
72.02,0.0731
72.03,0.073
72.04,0.073
72.05,0.0731
72.06,0.073
72.07,0.073
72.08,0.0731
72.09,0.0731
72.10,0.0728
72.11,0.073
72.12,0.0731
72.13,0.0732
72.14,0.0732
72.15,0.0729
72.16,0.0732
72.17,0.0733
72.18,0.0733
72.19,0.0732
72.20,0.0732
72.21,0.0732
72.22,0.0735
72.23,0.0732
72.24,0.0732
72.25,0.0735
72.26,0.0732
72.27,0.0737
72.28,0.0733
72.29,0.0732
72.30,0.0736
72.31,0.0737
72.32,0.0734
72.33,0.0733
72.34,0.0729
72.35,0.0728
72.36,0.0733
72.37,0.0735
72.38,0.0728
72.39,0.0732
72.40,0.0734
72.41,0.0734
72.42,0.073
72.43,0.0731
72.44,0.0732
72.45,0.0732
72.46,0.073
72.47,0.0724
72.48,0.0726
72.49,0.0728
72.50,0.0732
72.51,0.073
72.52,0.0736
72.53,0.0734
72.54,0.0735
72.55,0.0736
72.56,0.0732
72.57,0.073
72.58,0.0737
72.59,0.0733
72.60,0.0734
72.61,0.0735
72.62,0.0732
72.63,0.0731
72.64,0.0731
72.65,0.0733
72.66,0.0731
72.67,0.0733
72.68,0.0732
72.69,0.0731
72.70,0.0732
72.71,0.0726
72.72,0.0732
72.73,0.0733
72.74,0.0733
72.75,0.073
72.76,0.072
72.77,0.073
72.78,0.0731
72.79,0.0731
72.80,0.0727
72.81,0.071
72.82,0.0686
72.83,0.0703
72.84,0.0721
72.85,0.0733
72.86,0.0739
72.87,0.0743
72.88,0.0743
72.89,0.0748
72.90,0.0746
72.91,0.0745
72.92,0.0747
72.93,0.0745
72.94,0.0746
72.95,0.0752
72.96,0.0747
72.97,0.0746
72.98,0.075
72.99,0.0748
73.00,0.0749
73.01,0.0747
73.02,0.0744
73.03,0.0748
73.04,0.0748
73.05,0.0745
73.06,0.0746
73.07,0.0748
73.08,0.075
73.09,0.0748
73.10,0.0749
73.11,0.0746
73.12,0.0749
73.13,0.0752
73.14,0.0751
73.15,0.0747
73.16,0.0751
73.17,0.0752
73.18,0.0752
73.19,0.0751
73.20,0.075
73.21,0.0746
73.22,0.0748
73.23,0.0752
73.24,0.0751
73.25,0.0746
73.26,0.0744
73.27,0.0746
73.28,0.0745
73.29,0.0748
73.30,0.0753
73.31,0.0752
73.32,0.0751
73.33,0.075
73.34,0.0752
73.35,0.0751
73.36,0.0749
73.37,0.0753
73.38,0.0753
73.39,0.0753
73.40,0.0756
73.41,0.0752
73.42,0.0748
73.43,0.0751
73.44,0.0748
73.45,0.0752
73.46,0.0752
73.47,0.0753
73.48,0.0755
73.49,0.0754
73.50,0.0755
73.51,0.0758
73.52,0.0754
73.53,0.075
73.54,0.0753
73.55,0.0756
73.56,0.0757
73.57,0.0752
73.58,0.0752
73.59,0.0754
73.60,0.0754
73.61,0.0753
73.62,0.0756
73.63,0.0757
73.64,0.0755
73.65,0.0754
73.66,0.0756
73.67,0.0756
73.68,0.0756
73.69,0.0756
73.70,0.0756
73.71,0.0759
73.72,0.076
73.73,0.0759
73.74,0.0757
73.75,0.0757
73.76,0.0754
73.77,0.0755
73.78,0.0759
73.79,0.0759
